,NOMBRE,ID_LIN_TRA,PROPIEDAD,TENSION_KV,ESTADO,F_OPERACIO,LONG_KM,PROVINCIA,geometry
0,ALTO JAHUEL - LOS ALMENDROS,449,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,220.0,EN OPERACION,1988-01-01,40.71,CORDILLERA-SANTIAGO-MAIPO,"LINESTRING (-70.69180680299996 -33.71220203299998, -70.68974859699995 -33.71269333999993, -70.68711570099998 -33.711906848999945, -70.68417349599997 -33.71105794899995, -70.67991260599996 -33.70997225599996, -70.67568978199995 -33.70875457699998, -70.67000715599994 -33.70728190999995, -70.66419386899997 -33.70558365499994, -70.66155303699998 -33.70473273899995, -70.65865836799998 -33.70388354599993, -70.65539530699994 -33.702873746999956, -70.64943458899995 -33.70133839399995, -70.64662143299995 -33.70080488199994, -70.64204246299994 -33.69948907699995, -70.63902397799995 -33.698654483999974, -70.63470151299998 -33.69725848099995, -70.63092796199999 -33.69608607699996, -70.62617210299999 -33.694425637999984, -70.59927110699994 -33.68581157999995, -70.59665646699995 -33.684197282999946, -70.59420156899995 -33.68270750399995, -70.58245224199999 -33.68034182799994, -70.57059536399998 -33.65870060199995, -70.56680527799995 -33.653088115999935, -70.56745050499995 -33.64511480799996, -70.56202132099997 -33.64377287699995, -70.55699741899997 -33.63472921399995, -70.55335490399995 -33.628864902999965, -70.55490731799995 -33.62114003599993, -70.54581011099998 -33.61125000499993, -70.54075732899997 -33.59476283599997, -70.53773081299994 -33.59266664299997, -70.53911822299995 -33.59004011899998, -70.52754196799998 -33.552409559999944, -70.52398767599993 -33.54211039499995, -70.52323266699995 -33.53697898799993, -70.51946783999995 -33.52920656899994, -70.51850644499996 -33.501078881999945, -70.51635691499996 -33.49689156199997, -70.50585287999996 -33.46897789299993, -70.50615933099994 -33.436090115999946, -70.50641659299998 -33.42908278099998, -70.50752731799997 -33.42783334099994)"
1,POLPAICO - LAS TORTOLAS,1675,ALFA TRANSMISORA DE ENERGÃA S.A.,220.0,EN OPERACION,2005-12-06,60.0,CHACABUCO,"LINESTRING (-70.70324921699995 -33.14239805099993, -70.70332334999995 -33.14233581499997, -70.70710547899995 -33.14645914699997, -70.70799832499995 -33.14748413299998, -70.71121325499996 -33.15101824599998, -70.71326902099997 -33.15323062599998, -70.71258632499996 -33.154358369999954, -70.71625918899997 -33.15437137299995, -70.73452980999997 -33.151823099999945, -70.74245581199995 -33.15067532299997, -70.74649319599996 -33.151549788999944, -70.75541516699997 -33.15310914699995, -70.76124929299993 -33.15422820099997, -70.77550616199994 -33.15686541899993, -70.78808744799994 -33.15919369599993, -70.80077021699998 -33.16746816699998, -70.80859445599998 -33.17157128399998, -70.81769449399997 -33.17418200999998, -70.82446596899996 -33.17613006999994, -70.83069383799995 -33.17982060399993, -70.84972041399993 -33.18005222499994, -70.85106606699998 -33.18115859899996, -70.85229215099997 -33.18285671099994, -70.85376608399997 -33.184583216999954, -70.85699945699997 -33.18868920099993, -70.85928818299993 -33.19253368699998, -70.85959765899997 -33.19338390099995, -70.85921606399995 -33.19471392599996)"
2,LA ERMITA - LOS MAITENES,705,ANGLO AMERICAN LOS BRONCES,220.0,EN OPERACION,2005-06-02,8.63,SANTIAGO,"LINESTRING (-70.39800748999994 -33.36697564299993, -70.39725916799995 -33.36675084199993, -70.39599821299998 -33.36591766799995, -70.39345560099997 -33.36513230399993, -70.39082585399996 -33.36443795899993, -70.38803385599994 -33.363689825999984, -70.38696448099995 -33.36324691899995, -70.38464738799996 -33.362090371999955, -70.38312818199995 -33.36125880199995, -70.38183766599997 -33.36057258699998, -70.37874174299998 -33.358895824999934, -70.37710544999999 -33.35808584999995, -70.37394845199998 -33.35638283399993, -70.37131485599997 -33.354829474999974, -70.36824712799995 -33.35254571699994, -70.36757435499999 -33.35163055399994, -70.36593914899998 -33.34902988399995, -70.36579051799998 -33.34578012199995, -70.36577904099994 -33.34121086499994, -70.36563084499994 -33.33784970099998, -70.36522422199994 -33.33611722099994, -70.36488219199998 -33.33428897699997, -70.36406054299994 -33.330301221999946, -70.36352934399997 -33.32738490599996, -70.36253921199994 -33.32206177299997, -70.36214777499998 -33.32005559399994, -70.36169364199998 -33.31760279599996, -70.36040002599998 -33.315456866999966, -70.35922703299997 -33.31316003499995, -70.35773192899995 -33.30518642199996)"
3,LAS TORTOLAS - LOS MAITENES,1676,ALFA TRANSMISORA DE ENERGÃA S.A.,220.0,EN OPERACION,2005-12-06,60.0,SANTIAGO-CHACABUCO,"LINESTRING (-70.35853973399998 -33.304403975999946, -70.35954595499999 -33.305778017999955, -70.36700931499996 -33.30976379999993, -70.37500928999998 -33.31414835499993, -70.40064547299994 -33.328009203999954, -70.42053350499998 -33.31852718199997, -70.43530660599998 -33.31031549499994, -70.48394016299994 -33.30394497499998, -70.48436700499997 -33.29457984299995, -70.49037854199997 -33.29094251599997, -70.49931708299994 -33.28487412399994, -70.49986917399997 -33.28361823399996, -70.50960036599997 -33.26890300799994, -70.53165183699997 -33.259261580999976, -70.55790654999998 -33.24183162299994, -70.56414989899997 -33.235913840999956, -70.56849035499994 -33.23121843799993, -70.63757750099995 -33.18941137099995, -70.65525430999998 -33.17244574199998, -70.67912646799994 -33.16969854799993, -70.69128233899994 -33.16044918499995, -70.71234200699996 -33.15441492499997, -70.71310290799994 -33.15327919899994, -70.70506723199998 -33.14437081899996, -70.70318460399994 -33.14245229599993, -70.70324921699995 -33.14239805099993)"
