,NOMBRE,ID_LIN_TRA,PROPIEDAD,TENSION_KV,ESTADO,F_OPERACIO,LONG_KM,PROVINCIA,geometry
0,LOS ALMENDROS - EL SALTO,461,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,EN OPERACION,1983-01-01,17.86,SANTIAGO,"MULTILINESTRING ((-70.52191693399993 -33.42949312299993, -70.52001221099994 -33.42780297699994, -70.51806330799997 -33.426072758999965, -70.51580402899998 -33.42406672899995, -70.51384046299995 -33.422318581999946, -70.51364122399997 -33.42094569599993, -70.51338971299998 -33.41921270699993, -70.51290964899994 -33.41590877999994, -70.51278249599994 -33.41489575099996, -70.51256633699995 -33.41351855599993, -70.51302646099998 -33.41249385699996, -70.51366449899996 -33.41153462199998, -70.51382684499998 -33.410572169999966, -70.51390078399999 -33.40956570499998, -70.51450922699996 -33.40860682799996, -70.51551475799994 -33.40728235599994, -70.51640423499998 -33.405697757999974, -70.51686138099996 -33.404388995999966, -70.51731455499998 -33.40326065099998, -70.51710649299997 -33.40190591099997, -70.51750271399999 -33.400539272999936, -70.51735728699998 -33.39910710899994, -70.51732680999999 -33.397551789999966, -70.51723420099995 -33.396164071999976, -70.51700196999997 -33.394926865999935, -70.51638962599998 -33.393500408999955, -70.51599223299996 -33.39257635699994), (-70.50864720299995 -33.428356608999934, -70.51068054699994 -33.42833185499995, -70.51202075099997 -33.428279446999966, -70.51406597899995 -33.42895793399998, -70.51604461699998 -33.429646220999985, -70.51824596399996 -33.43038585599993, -70.52007869299996 -33.430110887999945, -70.52382635999999 -33.431165143999976, -70.52634932299998 -33.43153092599994, -70.52856980299998 -33.43174707099996, -70.53065671899998 -33.43208657499997, -70.53357419699995 -33.431928778999975, -70.53553218999997 -33.43239154599996, -70.53748996399997 -33.43284075499997, -70.53828350199996 -33.43197867199996, -70.53919006199999 -33.430799536999984, -70.54065001999999 -33.42972625099998, -70.54179951299994 -33.428584660999945, -70.54313881499996 -33.427327970999954, -70.54443761899995 -33.426076276999936, -70.54578548199999 -33.424778868999965, -70.54712517999997 -33.42350860199997, -70.54830961499994 -33.422357499999976, -70.54959278599995 -33.42112398799998, -70.55089675999994 -33.41984059999993, -70.55228389699994 -33.418452446999936, -70.55382745699995 -33.41737796299998, -70.55533370099994 -33.416281381999966, -70.55663339399996 -33.415273052999964, -70.55825245599993 -33.41412091199993, -70.55972998799996 -33.41300660299993, -70.56122678299994 -33.41193712599994, -70.56258546899994 -33.41092799399996, -70.56346779999996 -33.41022696699997, -70.56441214999995 -33.409597298999984, -70.56561894699996 -33.40870277799996, -70.56767147099998 -33.40825299099998, -70.56961138799994 -33.40780910199993, -70.57122211599994 -33.40744150299997, -70.57328220899996 -33.406991527999935, -70.57517909699999 -33.406579662999945, -70.57628122899996 -33.406340203999946, -70.57717822199999 -33.40614392599997, -70.57878170699996 -33.405771810999966, -70.58081992199993 -33.40531747899996, -70.58285319499998 -33.40485867099994, -70.58483572999995 -33.40439596599998, -70.58692466599996 -33.40393186999995, -70.58844124399997 -33.403515650999964, -70.59040481499994 -33.403030555999976, -70.59216108999993 -33.40257063699994, -70.59375703899997 -33.40217588199994, -70.59546247099996 -33.401748131999966, -70.59715877299993 -33.40131596899994, -70.59938941699994 -33.40075965699998, -70.60166290999996 -33.400184714999966, -70.60512423599994 -33.399361159999955, -70.60541043299997 -33.399293059999934, -70.60727238399994 -33.39895781699994, -70.60862221299993 -33.39869231899996, -70.61147362199995 -33.39839829099998, -70.61196945599994 -33.39835577699995, -70.61129889999995 -33.39743108699997, -70.60971279099994 -33.39573819199995, -70.60868310099994 -33.394452903999934, -70.60637130999999 -33.391732257999934, -70.60161156799995 -33.38793392699995, -70.60320924599995 -33.38540167599996, -70.60346205699994 -33.38378411999997, -70.60375986099996 -33.38260337299994, -70.60325722499994 -33.38139238699995, -70.60288553099997 -33.38052691399997, -70.60226107399995 -33.37907850999994, -70.60130188599999 -33.375916417999974, -70.60250168799996 -33.37003897499994, -70.60513390699998 -33.36824186399997, -70.60876531699995 -33.36571929999997, -70.60977494699995 -33.364114463999954, -70.61076243899998 -33.36310061199998, -70.61370616399995 -33.36244461699994, -70.61435930699997 -33.36280136899995, -70.61610563399995 -33.36372557499993, -70.62067104199997 -33.36615511999997, -70.62366342599995 -33.36556589199995, -70.62490067699997 -33.364264583999955, -70.62721156399994 -33.36180386099994, -70.62829631499994 -33.360594703999936, -70.62708745099997 -33.35978988399995), (-70.61161205699995 -33.36279808799998, -70.61068018299994 -33.360121858999946, -70.60668763599995 -33.35694518099996, -70.60315458999997 -33.354214715999944, -70.59982500899997 -33.351599016999955, -70.59696020599995 -33.34939329399998, -70.59327080999998 -33.34643831499994, -70.58925875999995 -33.34338359299994, -70.58508813699996 -33.343777142999954, -70.58239708299993 -33.34403214499997, -70.57582502399998 -33.34465817699993, -70.57349802799996 -33.34487621899996, -70.57186082199996 -33.34503029499996))"
1,CERRO NAVIA - LO AGUIRRE - LO PRADO,1643,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,EN OPERACION,2015-01-01,0.63,SANTIAGO,"LINESTRING (-70.90323547599996 -33.45460694399998, -70.90891064099998 -33.45634775399998, -70.90964384299997 -33.45656804299995)"
2,OCHAGAVIA - FLORIDA,479,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,EN OPERACION,2005-06-02,16.45,SANTIAGO,"MULTILINESTRING ((-70.57389398299995 -33.50282805799998, -70.57414281699994 -33.503653413999984, -70.57430417599994 -33.50419865099997, -70.57442961399994 -33.50461470299996, -70.57453004999996 -33.50494782199996, -70.57468354999997 -33.50545693999993, -70.57493343099998 -33.50628571599998, -70.57467547899995 -33.50634038499993), (-70.61565544399997 -33.486750075999964, -70.61492326199993 -33.485555688999966, -70.61317523399998 -33.48547475099997, -70.61119280199995 -33.48530665499993, -70.60906129399996 -33.485131441999954, -70.60917655699996 -33.48332179099998, -70.60930636799998 -33.48150743999997, -70.60942700199996 -33.47973829799997, -70.60956683699999 -33.47787872499998, -70.60970187199996 -33.476050775999965, -70.60978509999995 -33.47489535999995), (-70.66712759299998 -33.47867909099995, -70.66696835999994 -33.47747209199997, -70.66715233999997 -33.47620065199993, -70.66589176899998 -33.47625236299996, -70.66455785599999 -33.47627063099998, -70.66105734899998 -33.476232772999936, -70.65955943299997 -33.477329802999975, -70.65795986999996 -33.47772386999998, -70.65622079599996 -33.47710246499997, -70.65439961399994 -33.47685987299997, -70.65272781099998 -33.47684095899996, -70.65087297499997 -33.47691736699994, -70.64889572299995 -33.477107125999964, -70.64780810599996 -33.47764610399997, -70.64205264999998 -33.477583799999934, -70.63996668499993 -33.47765713999996, -70.63800983999994 -33.47879460199994, -70.63652287199994 -33.47884453699993, -70.63435291299999 -33.47936652499993, -70.63301697199995 -33.47970319199993, -70.62663371999997 -33.48411117499995, -70.61741602599994 -33.48620690499996, -70.61571787299994 -33.48689424299994, -70.61229796699996 -33.49078464099995, -70.61126860699994 -33.49199879399998, -70.60523833899998 -33.49675140599993, -70.56092928999993 -33.50508525699996, -70.56060872799998 -33.50925620399994, -70.55889488699995 -33.51524543599993, -70.55679730999998 -33.52012503199995, -70.55570172499995 -33.52482441999996, -70.55467508599997 -33.53180628399997, -70.55468852999996 -33.53329317199996, -70.55458779099996 -33.53450280399994, -70.55438634499995 -33.53592890899995, -70.55291651199997 -33.54006914799993, -70.55248010699995 -33.54133441899995, -70.55121547299996 -33.545729559999984, -70.54985199699996 -33.54640478699997, -70.54872776699995 -33.54695405399997, -70.54539223399996 -33.54872097899994, -70.54513868499998 -33.54797826799995), (-70.66460073399998 -33.47624353599997, -70.66479626699999 -33.47556018499995, -70.66480889899998 -33.47351974199995, -70.66501299199996 -33.47297657599995))"
3,CERRO NAVIA - RENCA,453,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,EN OPERACION,1962-01-01,4.53,SANTIAGO,"LINESTRING (-70.72985219699996 -33.42092185399997, -70.72783685899998 -33.419594675999974, -70.72594878899997 -33.41850408299996, -70.72387595099997 -33.41745278199994, -70.72172836799996 -33.41653526199997, -70.71970892899998 -33.415644389999954, -70.71773463099998 -33.41475387199995, -70.71625367699994 -33.41344954599998, -70.71462128299999 -33.41206385099997, -70.71334362999994 -33.41054693999996, -70.71206584099997 -33.40891096599995, -70.71147632299994 -33.40836521899996, -70.70895243899997 -33.40830387099993, -70.70640122699996 -33.408348340999964, -70.70389500699997 -33.40855794199996, -70.70203246899996 -33.40963217299998, -70.70043588999994 -33.41070130199995, -70.69876787199996 -33.41193440899997, -70.69747482499997 -33.41345169799996, -70.69578052099996 -33.414517642999954, -70.69345956999996 -33.41581246299995, -70.69179149999997 -33.416184302999966, -70.69031668599996 -33.41679380499994)"
4,CERRO NAVIA - CHENA,451,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,EN OPERACION,,14.25,SANTIAGO-MAIPO,"MULTILINESTRING ((-70.72592339699997 -33.52561861899994, -70.72725862599998 -33.52527549799993, -70.73004663999996 -33.52409753599994, -70.73139594599996 -33.523430090999966, -70.73168405699994 -33.522050770999954, -70.73178370199997 -33.52166020799996, -70.73214283599998 -33.51951779899997, -70.73242425999996 -33.51827317499993, -70.73261030699996 -33.51745051199998, -70.73304102599997 -33.51538126299994, -70.73349759199994 -33.51418469299995, -70.73385054199997 -33.51260140099998, -70.73429062399998 -33.51071528899996, -70.73470791899996 -33.50903437399995, -70.73515780299994 -33.507560672999944, -70.73540506199998 -33.50624383099995, -70.73571667999994 -33.50506421799997, -70.73463678199994 -33.502909571999965, -70.73411452999994 -33.50156008799996, -70.73399368699995 -33.50141197199997, -70.73389047199998 -33.501181491999944, -70.73301012999997 -33.499308851999956, -70.73238294799995 -33.49784783299998, -70.73169134599993 -33.49629704299997, -70.73095450299996 -33.494761195999956, -70.73155235599995 -33.493607546999954, -70.73133552799999 -33.492227455999966, -70.73136331699999 -33.490872337999974, -70.73152733499995 -33.490062258999956, -70.73158830399996 -33.48711704699997, -70.73147369599997 -33.48562817599998, -70.73137994099994 -33.48538133899996, -70.73130542999996 -33.48507124099996, -70.73128336999997 -33.48442063999994, -70.73123939799996 -33.483422461999965, -70.73133524499997 -33.48331533499993, -70.73133692699997 -33.48323413799994), (-70.73291770599997 -33.52182807799994, -70.734293 -33.52128127299994, -70.73581400299997 -33.52211666599993, -70.73733535699995 -33.52295203699998, -70.73915678299994 -33.52393647799994, -70.74040785499994 -33.52459524599993, -70.74204847499993 -33.52545142499997, -70.74342390899994 -33.526167027999975, -70.74497933799995 -33.527051418999974, -70.74657938799999 -33.527957706999985, -70.74817946899998 -33.528863970999964, -70.74953854899996 -33.52963384199995, -70.75075208199996 -33.53055906099996, -70.75196562599996 -33.531488776999936, -70.75298777099994 -33.532281411999975, -70.75448350199997 -33.53341451699998, -70.75593137499999 -33.53445810299996, -70.75738110999998 -33.535443027999975, -70.75883130799997 -33.536427929999945, -70.76028110699997 -33.53741281899994, -70.76173085099998 -33.538393181999936, -70.76318103899996 -33.539378029999966, -70.76463093799998 -33.540362862999984, -70.76475220499998 -33.54101493199994), (-70.73085620699999 -33.48348987799994, -70.73085710299995 -33.48326441499995, -70.73105259799996 -33.48325207999994, -70.73133692699997 -33.48323413799994), (-70.73133692699997 -33.48323413799994, -70.73140839699994 -33.48322962799995, -70.73159132699993 -33.48321808399993, -70.73160327199997 -33.48346140299998, -70.73213354199999 -33.48335479299993, -70.73389961699996 -33.48333009099997, -70.73505653799998 -33.48396769999994, -70.73812744499998 -33.48404189199994, -70.74018466199993 -33.48381912699995, -70.74186870999995 -33.484534939999946, -70.74413585099995 -33.48520644699994, -70.74574518399999 -33.486148706999984, -70.74666188599997 -33.487096201999975, -70.74779398999993 -33.488103775999946, -70.74859580999998 -33.48874175599997, -70.74875991099998 -33.48999293899993, -70.74791866599998 -33.49164608099994), (-70.73133692699997 -33.48323413799994, -70.73136428899994 -33.481913135999946, -70.73144456399996 -33.479865992999976, -70.73144894399996 -33.47901292399996, -70.73127612799993 -33.47784021799998, -70.73140575199994 -33.47684223799996, -70.73121538999999 -33.47586065899998, -70.73099407899997 -33.474503711999944, -70.73120921299994 -33.47386840599995, -70.73138453199994 -33.47365143999997, -70.73117295999998 -33.47188976799998, -70.73132844599996 -33.470559099999946, -70.73118358199997 -33.46989601599995, -70.73122144699994 -33.468936896999935, -70.73119478699994 -33.46788264199995, -70.73117068899995 -33.467529844999945, -70.73114670999996 -33.466001922999965, -70.73131124699995 -33.46497064599998, -70.73113917999996 -33.46401266899994, -70.73126078999996 -33.462075297999945, -70.73111019799995 -33.46004926799998, -70.73126707899996 -33.458991253999955, -70.73108133199997 -33.45806030999995, -70.73105484199993 -33.45619062099996, -70.73105407699995 -33.45543604599993, -70.73102894899995 -33.45417179499998, -70.73104052599996 -33.45365667999994, -70.73101889199995 -33.45225550999993, -70.73101307299999 -33.45187860999994, -70.73091703899996 -33.451187981999965, -70.73098873099997 -33.45030177099994, -70.73114375499995 -33.44913281899994, -70.73090764699998 -33.44764387999993, -70.73092354499994 -33.446078615999966), (-70.68910933999996 -33.474854049999976, -70.69105737999996 -33.475733799999944, -70.69295822199996 -33.47659161799993, -70.69487801299994 -33.477453655999966, -70.69679803999998 -33.47832016999996, -70.69850015199995 -33.47908593099993, -70.70019250599995 -33.47985180399996, -70.70184838299997 -33.48017626799998, -70.70379730199994 -33.480555297999956, -70.70547351599998 -33.480883941999934, -70.70721316399994 -33.48122521499994, -70.70824765199995 -33.481228992999945, -70.71035675999997 -33.48123597199998, -70.71198266799996 -33.481691471999966, -70.71362645099998 -33.48214670699997, -70.71551681199998 -33.48216563899996, -70.71742903199998 -33.482179729999984, -70.71934133799994 -33.48219829899995, -70.72116737999994 -33.48221352699994, -70.72291288799994 -33.482031451999944, -70.72468218699998 -33.482588498999974, -70.72690473399996 -33.48299040799998, -70.72916545799995 -33.48340075999994), (-70.73092354499994 -33.446078615999966, -70.72876407299998 -33.44600980499996, -70.72641324899996 -33.44590819999996, -70.72425324799997 -33.44579915699995, -70.72172778499998 -33.445657220999976, -70.71961296399996 -33.44556301399996, -70.71731297499997 -33.44561682999995, -70.71507043799994 -33.44583944499993, -70.71268072499998 -33.446113485999945, -70.71029413799994 -33.44641861799994, -70.70809928699998 -33.44665101199996), (-70.73092354499994 -33.446078615999966, -70.73092188899994 -33.44393691199997, -70.73095195799993 -33.44188205399996, -70.73096978099994 -33.43984422999995, -70.73098735499997 -33.43768006899995, -70.73100266399996 -33.43577006199996, -70.73101868099997 -33.43392271799996, -70.73082744699997 -33.43226391199994, -70.73096704499994 -33.43127876999995, -70.73089392099996 -33.43023722799995, -70.73083391799997 -33.429150025999945, -70.73061381999997 -33.42816885299993, -70.73062345999995 -33.42671919199995, -70.73027013099994 -33.42461604499994, -70.72993656099999 -33.42271278199996, -70.72992547199993 -33.42100441799994, -70.72996547799994 -33.42086895199998))"
5,CERRO NAVIA - LAS VEGAS,36,COMPAÃÃA TRANSMISORA DEL NORTE GRANDE S.A.,110.0,EN OPERACION,2001-01-01,77.65,SAN FELIPE DE ACONCAGUA-CHACABUCO-SANTIAGO,"LINESTRING (-70.73130059899995 -33.42138301199998, -70.73164116499998 -33.418484116999934, -70.73285213699995 -33.41320621099993, -70.73268809599995 -33.41016523999997, -70.73254217499994 -33.40761165499998, -70.73263512399996 -33.405940827999984, -70.73233998599994 -33.40074766799995, -70.72896816099995 -33.39743061199994, -70.72447980499999 -33.39300903999998, -70.72258770899998 -33.39139486099998, -70.71612461599995 -33.38652456099993, -70.71218733999996 -33.38329912199998, -70.70737917799994 -33.37945440899995, -70.69907236299997 -33.37211826299995, -70.68900481599997 -33.35116967199997, -70.67544626699998 -33.34254587899994, -70.68114139099998 -33.33881326699998, -70.68892199499999 -33.33378812199993, -70.69565025999998 -33.32966516299996, -70.70483614899996 -33.32356174299997, -70.70609564099993 -33.32071107699994, -70.75011124299994 -33.22711170699995, -70.75367723899996 -33.22182728799993, -70.76406113399997 -33.208487214999934, -70.78282856299995 -33.17183752599993, -70.78749861799997 -33.17164446299995, -70.79164943299998 -33.17248317699995, -70.79303145299997 -33.161949497999956, -70.79271229199998 -33.15958848799994, -70.80104075999998 -33.149042659999964, -70.81277904299998 -33.13448081499996, -70.83234553399996 -33.11179018099995, -70.87161159299995 -33.06595320099996, -70.91249394099998 -33.01889659699998, -70.91816734399998 -33.01015660799993, -70.93070893799995 -33.00522776099996, -70.93841851499997 -33.005513287999975, -70.94597122399995 -33.00073035999998, -70.96155929499997 -32.995484113999964, -70.97876106699994 -32.97549536799994, -70.98288147499994 -32.936118876999956, -71.00269804599998 -32.90217453199995, -71.00645855599998 -32.855547469999976, -71.01241544699997 -32.84336185099994)"
6,BUIN - ESPEJO,468,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,EN OPERACION,2005-01-01,20.82,MAIPO,"LINESTRING (-70.69204067999993 -33.71011853699997, -70.69170296399994 -33.709295046999955, -70.69294825099996 -33.69481669199996, -70.69408728499997 -33.692418688999965, -70.71305917399997 -33.65235196499998, -70.71392420599994 -33.651456752999934, -70.71451380699995 -33.64262723999997, -70.71524272499994 -33.63152924899998, -70.71564498699996 -33.62480823499993, -70.71670594699998 -33.613527628999975, -70.71777453799996 -33.61006846799995, -70.71764072799994 -33.607029162999936, -70.71752664899998 -33.605719273999966, -70.71744554899993 -33.604727271999934, -70.71852387399997 -33.59474402199993, -70.72499623799996 -33.58114188099995, -70.72568354899994 -33.56696973099997, -70.72578572699996 -33.56461733699996, -70.72339837199996 -33.544333878999964, -70.72076746399995 -33.54158782799993, -70.71843690199995 -33.53885301099996, -70.71658780299998 -33.53680525799996, -70.71498588999998 -33.53486747699998, -70.71355130399996 -33.53315151499993, -70.71206156399995 -33.53135050399993, -70.71143796099994 -33.53061535799998)"
7,ALTO JAHUEL - FLORIDA,447,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,EN OPERACION,1973-01-01,23.93,SANTIAGO-CORDILLERA-MAIPO,"MULTILINESTRING ((-70.69139414999995 -33.71025012499996, -70.68895017099999 -33.70989395599997, -70.68782867199997 -33.70976672699993, -70.68627073899995 -33.70792312599997, -70.68027219499999 -33.70054810599993, -70.67449082199994 -33.69348665299998, -70.67241156399996 -33.69084711099998, -70.66960795799997 -33.68733847999994, -70.66354649999994 -33.67991295199994, -70.65856789999998 -33.67380607999996, -70.65725662599993 -33.67196242699998, -70.65303387299997 -33.66693094799996, -70.65002000199996 -33.66325991699995, -70.64932811999995 -33.662405485999955, -70.64689915399998 -33.659440753999945, -70.64482186399994 -33.65697796199993, -70.64078399099998 -33.65191204599995, -70.63798897399994 -33.648427724999976, -70.63676966699995 -33.64698409199997, -70.63328161099997 -33.636370029999966, -70.62569433299996 -33.63013483199995, -70.61645246099994 -33.61701269599996, -70.59626257099995 -33.58802135399998, -70.59870816499995 -33.57546394399998, -70.56476981099996 -33.56832375999994, -70.55548581399995 -33.56159050399998, -70.54764170299995 -33.54992013399993, -70.54500773499996 -33.548839458999964), (-70.59689692699999 -33.574871034999944, -70.59703995099994 -33.57270546099994, -70.59719194499996 -33.57051250599994, -70.59733747899998 -33.56842849399993, -70.59815328899998 -33.56692166999994, -70.59893437699998 -33.565649303999976, -70.59970714399998 -33.56435480399995, -70.60040848899996 -33.56321211799997, -70.60039224299999 -33.56164794399996, -70.60037807699996 -33.56163703799996, -70.60072294899999 -33.56029789199994, -70.60102879999994 -33.55890514199996, -70.60102297799995 -33.55839118199998, -70.60092710299995 -33.557882896999956, -70.60129346299993 -33.55619176399995, -70.60163535799995 -33.554582109999956, -70.60202585599995 -33.55296280699997, -70.60242196799999 -33.55135695699994, -70.60282182199995 -33.54971498599997, -70.60378489699997 -33.54970251199995, -70.60377945699997 -33.55003174299998))"
8,VIZCACHAS - PUENTE ALTO,622,TRANSMISORA ELÃCTRICA CORDILLERA SPA,110.0,EN OPERACION,1992-01-01,7.63,CORDILLERA,"LINESTRING (-70.53730607199998 -33.61774874199995, -70.53638047399994 -33.616477584999984, -70.53485453699994 -33.615814013999966, -70.53341695199998 -33.61528232999996, -70.53239434299996 -33.61492275299997, -70.53138903799999 -33.614307475999965, -70.52950168799998 -33.61442883199993, -70.52648126699995 -33.61507408999995, -70.52507419499995 -33.61509531599995, -70.52249520099997 -33.61521362599996, -70.52145575599997 -33.615234390999944, -70.52029967899995 -33.61516715999994, -70.51913233499994 -33.613595886999974, -70.51773710599997 -33.61266245999997, -70.51611723399998 -33.61282387099993, -70.51408643899998 -33.61303635399997, -70.51165280999999 -33.60982703899998, -70.51195029999997 -33.608715367999935, -70.51386222899998 -33.60699112999998, -70.51418973099999 -33.60661928799993, -70.51417972999997 -33.60596082999996, -70.51465178199999 -33.60487695299997, -70.51498067399996 -33.60325397699995, -70.51357414099994 -33.60297781299994, -70.51219537499998 -33.602302247999944, -70.51282097399996 -33.60119686199994, -70.51153377999998 -33.60004537399993, -70.51140056499997 -33.59807503899998, -70.51255777199998 -33.59777937399997, -70.51266254899997 -33.59600775299998, -70.51255245699997 -33.594758931999934, -70.51233419399995 -33.59232574799995, -70.51313924699997 -33.59096185699997, -70.51681574299994 -33.584316885999954, -70.51639537899996 -33.58127892599998, -70.51561005199994 -33.579246782999974, -70.51519186399997 -33.578197425999974, -70.51420754999998 -33.57750887599997, -70.51310949599997 -33.576807749999944, -70.50850932899993 -33.574670579999975)"
