,NOMBRE,ID_LIN_TRA,PROPIEDAD,TENSION_KV,ESTADO,F_OPERACIO,LONG_KM,PROVINCIA,geometry
0,LO AGUIRRE - POLPAICO,928,TRANSELEC S.A.,500.0,EN OPERACION,2005-05-07,29.34,CHACABUCO-SANTIAGO,"LINESTRING (-70.89706502799999 -33.44023563899998, -70.89608910899994 -33.44008254899995, -70.89199772499995 -33.44004466699994, -70.89257842399996 -33.43189987499994, -70.88723044099999 -33.419706804999976, -70.88128159299998 -33.40603654999995, -70.88185986599996 -33.35874575399998, -70.88184724899997 -33.35744985399998, -70.88184594199998 -33.35369612599993, -70.88227303099995 -33.34955183999995, -70.88516550999998 -33.322501037999984, -70.88538532499996 -33.31990659199994, -70.88832532399994 -33.303600306999954, -70.89228247799997 -33.28264811099996, -70.89259118299998 -33.281317840999975, -70.89366095099996 -33.276298097999984, -70.89745314699996 -33.264879264999934, -70.89337751199997 -33.26004708499994, -70.88659928899995 -33.25634661299995, -70.88068337299995 -33.25310802799993, -70.86206169099995 -33.24206941899996, -70.85921074499998 -33.23112096899996, -70.86109764099996 -33.225013460999946, -70.86336778799995 -33.216183985999976, -70.86636013999998 -33.20540959699997, -70.86247925399994 -33.19932558199997)"
1,NUEVA PAN DE AZUCAR - POLPAICO,906,INTERCHILE S.A.,500.0,EN OPERACION,2019-05-30,408.13,ELQUI-CHOAPA-LIMARI-VALPARAISO-PETORCA-MARGA MARGA-CHACABUCO-QUILLOTA,"LINESTRING (-70.86283755499994 -33.19820045999995, -70.86329482299993 -33.19859521999996, -70.86484846799993 -33.19830264099994, -70.86692845899995 -33.19385170499993, -70.87014587799996 -33.19254228699998, -70.89079423699997 -33.17729974799994, -70.89588190199999 -33.17603544199994, -70.90021689299994 -33.17260985099995, -70.90483584899994 -33.16712581899998, -70.91672661699994 -33.15847201999998, -70.93263249699999 -33.13435788299995, -70.93390385699996 -33.13233001399993, -70.93706571999996 -33.12625362099993, -70.94132128999996 -33.11165925699993, -70.95131091399998 -33.09043745399998, -70.95937930499997 -33.081889316999934, -70.96640979999995 -33.08049053899998, -70.97073599199996 -33.07969996999998, -70.97466471799999 -33.07891516299998, -70.98511849799996 -33.07709505599996, -70.99433263499998 -33.07595944499997, -71.00327166799997 -33.07449189199997, -71.01849381899996 -33.071918721999964, -71.02909957999998 -33.07004846199993, -71.03130306199995 -33.069939648999934, -71.04595919799993 -33.07344278499994, -71.05093112999998 -33.076989701999935, -71.06281689799994 -33.088081158999955, -71.06858683999997 -33.09692295699995, -71.10960782699993 -33.119228136999936, -71.13517460599996 -33.12208472799995, -71.17712345999996 -33.07582634499994, -71.18054233099997 -33.07530784499994, -71.20290723699998 -33.07883887899993, -71.20768997499994 -33.08132135599993, -71.22082523199998 -33.079412779999984, -71.22583872499996 -33.07848260399993, -71.23516619199995 -33.071909646999984, -71.23808510499998 -33.070562705999976, -71.26150563899995 -33.05926456499998, -71.26811333999996 -33.04990787699995, -71.29406252599995 -33.027980508999974, -71.30536764799996 -33.024001889999965, -71.32289039699998 -33.02232582499994, -71.32739181499994 -33.018273257999965, -71.33317151099999 -32.998716179999974, -71.34388983899998 -32.97766192499995, -71.35779632499998 -32.969019808999974, -71.36822711299999 -32.960341453999945, -71.37965012699993 -32.94869789399996, -71.38895866699994 -32.93457883599996, -71.39042335699997 -32.926775230999965, -71.39786142899999 -32.92221529599993, -71.40323525999997 -32.86755301499994, -71.40376056499997 -32.86374633599996, -71.40199251099995 -32.85114428999998, -71.39886663699997 -32.828494655999975, -71.39684161899999 -32.79875849699994, -71.40517711699994 -32.77675788499994, -71.40239413099994 -32.76100623599996, -71.39745257099997 -32.75583367399997, -71.39531106099997 -32.74804722999994, -71.39816662299995 -32.73992819099993, -71.39398638799997 -32.73535169199994, -71.38964592899998 -32.73081561899994, -71.38697072499997 -32.72791235899996, -71.37849908799996 -32.714412752999976, -71.37738002499998 -32.68040697599997, -71.36828730599996 -32.65873915299994, -71.36799645299993 -32.653016589999936, -71.36727859999996 -32.64526512499998, -71.36168889499999 -32.64137934599995, -71.35999665599996 -32.63791825799996, -71.36075536299995 -32.63255678799993, -71.37020275299994 -32.620140713999945, -71.37389173999998 -32.61493136099995, -71.37544822499996 -32.60783563099994, -71.37366878599994 -32.60222037999995, -71.37344401999997 -32.59856406299997, -71.37148760099996 -32.595771869999965, -71.36959302099996 -32.59341422399996, -71.36743833199995 -32.59111389999998, -71.36460152699993 -32.588091745999975, -71.36544813299997 -32.584601376999956, -71.36597324199994 -32.58151805399996, -71.36823597299997 -32.58038398599996, -71.36910822899995 -32.57668882499996, -71.36649956599996 -32.57280470899997, -71.36375795799995 -32.56643126399996, -71.35374061099998 -32.55410243299997, -71.35538989299994 -32.50641147599998, -71.35410822899996 -32.49045089899994, -71.34623431799997 -32.47712960599995, -71.35150378699996 -32.461393931999964, -71.36311274699995 -32.43946358299996, -71.35635344199994 -32.40558030099993, -71.35034281299994 -32.39269157499996, -71.34262500999995 -32.36715627099994, -71.35293682599996 -32.35637289699997, -71.35899414999994 -32.35136562699995, -71.36600533999996 -32.346025674999964, -71.37063010499998 -32.34253857699997, -71.37427684199997 -32.339512645999946, -71.37637020899996 -32.33801713499997, -71.38446946299996 -32.332768262999934, -71.40267095299998 -32.31520433199995, -71.41447100599999 -32.31301608699994, -71.43037119099995 -32.302233988999944, -71.46549897999995 -32.238513858999966, -71.46569450999993 -32.172487710999974, -71.46323160899993 -32.160010359999944, -71.47417716399997 -32.131836705999945, -71.47825493999994 -32.08573843599993, -71.47785322799996 -32.05869320599993, -71.47847187199994 -32.054745338999965, -71.47438867799997 -32.024684683999965, -71.47127804899998 -32.011020875999975, -71.46973670299997 -31.998201200999972, -71.46952564999998 -31.995403516999943, -71.46494418099996 -31.948279516999946, -71.44367927699994 -31.88636090899996, -71.45252027699996 -31.87412762599996, -71.45698611199998 -31.867408652999984, -71.46137444399994 -31.86113992399993, -71.46524258999995 -31.855064942999945, -71.47731330599999 -31.837132518999965, -71.48588315499995 -31.76031860599994, -71.51364494899997 -31.72346464499998, -71.52326317899997 -31.670436629999983, -71.51655478999999 -31.634032667999975, -71.49477542099999 -31.60206360999996, -71.48769696199997 -31.585833702999935, -71.49664612199996 -31.56861873899993, -71.53952947799996 -31.508554188999938, -71.55347041799996 -31.49538514099993, -71.56094470699998 -31.461220176999973, -71.55859831999999 -31.454890528999954, -71.55840972699997 -31.44215057499997, -71.56530304099994 -31.40466540799997, -71.56629248399997 -31.400518071999954, -71.56689952499994 -31.39451963299996, -71.56706651399998 -31.393171061999965, -71.57163254099999 -31.344547312999964, -71.57269267699996 -31.33295922399998, -71.57554190699994 -31.320140270999957, -71.57564907999995 -31.307320982999954, -71.57579403099999 -31.30218741699997, -71.57589764199997 -31.297354963999965, -71.57592534699995 -31.295896870999968, -71.57606561899996 -31.294115656999963, -71.57639561899998 -31.28908322099994, -71.57648935199995 -31.287931898999943, -71.57689874099998 -31.28157939199997, -71.57878057999994 -31.255583159999958, -71.58063837899994 -31.228772797999966, -71.58102978199997 -31.22374878499994, -71.58341520699997 -31.19640051999994, -71.58407654799998 -31.188729256999977, -71.58491011499996 -31.181649394999965, -71.58696588599997 -31.15634829299995, -71.58885117499995 -31.11653875299993, -71.59655364599996 -31.092672383999968, -71.59418054899999 -31.05393223899995, -71.59983451599999 -31.000041849999945, -71.60329451399997 -30.914372063999963, -71.60478819999997 -30.891135150999958, -71.61093691799994 -30.883847939999953, -71.60887474099997 -30.876778180999963, -71.60827137199993 -30.87508793099994, -71.60624932899998 -30.867770978999943, -71.60410060199996 -30.860802530999933, -71.60386880299995 -30.858264403999954, -71.58761293199996 -30.803052769999965, -71.56128348299995 -30.76300873799994, -71.54085525999994 -30.73778010999996, -71.53661841699994 -30.673123433999933, -71.53834679799996 -30.658033615999955, -71.53003202999997 -30.625417194999955, -71.52486695599998 -30.563119649999976, -71.50469497499995 -30.509617789999936, -71.47222240699995 -30.46273907699998, -71.46664002699998 -30.460733560999984, -71.45192842899996 -30.439304068999945, -71.41001472799996 -30.37712228099997, -71.39886078999996 -30.312443628999972, -71.39708334199997 -30.30281106299998, -71.38952477899994 -30.25730387599998, -71.31439049399995 -30.198226888999955, -71.30906862499995 -30.19403525599995, -71.26291196899996 -30.16949891799993, -71.24197433399996 -30.127337644999955, -71.22298855699995 -30.121212712999977, -71.21970974499999 -30.120501410999964, -71.21920197199995 -30.120306417999984)"
2,ALTO JAHUEL - LO AGUIRRE,929,TRANSELEC S.A.,500.0,EN OPERACION,2005-06-13,43.48,SANTIAGO-MAIPO-TALAGANTE,"LINESTRING (-70.89702089199994 -33.44049293099994, -70.89609824999997 -33.44009204899993, -70.89203229099996 -33.440026047999936, -70.89190228899997 -33.44084399199994, -70.89187306999997 -33.44099732999996, -70.89164882099993 -33.444454975999975, -70.89069186099994 -33.45685763899996, -70.87590870499997 -33.47774240399997, -70.87604485699995 -33.50861693599995, -70.86220120899998 -33.52497323299997, -70.85734830299998 -33.53070585099994, -70.85554784499993 -33.53286207799994, -70.85171776199996 -33.53739009599997, -70.84997993799993 -33.539540443999954, -70.84712080599996 -33.54655626999994, -70.84568011699997 -33.551904674999946, -70.84787970499997 -33.56855663399995, -70.84825267399998 -33.57140883399995, -70.84866105199995 -33.57705047699994, -70.84565392799993 -33.58257101099997, -70.83587671399994 -33.584402859999955, -70.82762636399997 -33.58961296199993, -70.82150434799996 -33.59355901999993, -70.80638948799998 -33.604561900999954, -70.79980736099998 -33.60942911799998, -70.80464955899998 -33.62001761899995, -70.81126489299999 -33.62771996599997, -70.80886704399995 -33.642835538999975, -70.79621245599998 -33.65427291299994, -70.79076189499995 -33.65922919099995, -70.78425419699994 -33.66506677799998, -70.78522806299998 -33.679347277999966, -70.78524442799994 -33.68450260299994, -70.78552625799995 -33.69402752299993, -70.78486732399995 -33.694768790999944, -70.77974718299998 -33.69470131099996, -70.77682267299997 -33.69288907099997, -70.76870796299994 -33.69205274199993, -70.76384792299996 -33.69249452699995, -70.75734933999996 -33.693065926999964, -70.75136396999994 -33.69668159299994, -70.74585360599997 -33.700927546999935, -70.73503503799998 -33.69820164099997, -70.73056273499998 -33.699202784999954, -70.72298305999993 -33.699204288999965, -70.71993896099997 -33.699231699999984, -70.70007135499998 -33.70718556899993, -70.69878033299995 -33.70864718299998, -70.69855882899998 -33.711876555999936, -70.69854751799994 -33.71565177999997, -70.69658495599998 -33.71695468599995, -70.69412847599995 -33.71695718999996)"
3,ANCOA - ALTO JAHUEL C1,134,TRANSELEC S.A.,500.0,EN OPERACION,2005-09-13,240.05,CACHAPOAL-COLCHAGUA-TALCA-CURICO-LINARES-MAIPO,"LINESTRING (-71.38103905799994 -35.68265010899995, -71.38639317299999 -35.682216746999984, -71.40347235899998 -35.67615363999994, -71.41651491499994 -35.67146268199997, -71.42395729799995 -35.66636185099998, -71.42452063399998 -35.664264033999984, -71.42427397999995 -35.647935780999944, -71.42406265699998 -35.64071955399993, -71.42401108199994 -35.637903162999976, -71.42097529999995 -35.62268659499995, -71.41897190099996 -35.60655804999993, -71.41870005799996 -35.604569813999944, -71.41811844099993 -35.599772249999944, -71.39443964599997 -35.564388538999935, -71.38959953499995 -35.55841562499995, -71.38694749899997 -35.55524488699996, -71.38536440599995 -35.553200441999934, -71.38329067499996 -35.55016456599998, -71.37724441599994 -35.54096897199997, -71.37528833299996 -35.53802257399997, -71.36966859399996 -35.52947339499997, -71.35382383199999 -35.505086235999954, -71.34080471299995 -35.485101164999946, -71.33705227299998 -35.47939152699996, -71.32033033099998 -35.45986245299997, -71.31498773999994 -35.45337638299998, -71.31091892999996 -35.44718790899998, -71.30920274499994 -35.444877005999956, -71.30384058199996 -35.43535377699993, -71.29660690899993 -35.41743098599994, -71.29384621899999 -35.40675493899994, -71.29208716199997 -35.399653341999965, -71.28477102899996 -35.35994869499996, -71.28232277199999 -35.346030705999965, -71.27952492799994 -35.313198117999946, -71.27739355599994 -35.302071259999934, -71.27629443699993 -35.29889991299996, -71.26718804999996 -35.278594649999945, -71.26641114299997 -35.27499867599994, -71.26576852499994 -35.27124402399994, -71.26511817299996 -35.26018358799996, -71.26489524299996 -35.25698504999997, -71.26424428199994 -35.253496749999954, -71.26351216199998 -35.24981896899993, -71.25523663499996 -35.23060678899998, -71.24913912099998 -35.218256563999944, -71.24396440099997 -35.20937020699995, -71.22897525899998 -35.18441451399997, -71.20901603099998 -35.14809851199993, -71.20699472899997 -35.14468507699996, -71.19786579099997 -35.13002401299997, -71.19389740199995 -35.12372479499993, -71.19230429999993 -35.12029389999998, -71.18842140399994 -35.112284113999976, -71.18587701099995 -35.10704942399997, -71.18520795199998 -35.06483338499993, -71.08116876499997 -34.994121991999975, -71.07396565599998 -34.94961688799998, -71.06038261199996 -34.911332827999956, -71.05808169599999 -34.89376397099994, -71.05438578099995 -34.87928641599996, -71.04448870199997 -34.85405467999993, -71.03528057299997 -34.83477512899998, -71.02249022199999 -34.81443041599994, -71.00211159699995 -34.78644508499997, -70.98756640399995 -34.76488194399997, -70.98204875699997 -34.75597173699998, -70.97261572499997 -34.737707290999936, -70.94897368799997 -34.68731292599995, -70.93266659599993 -34.65366087099994, -70.93233654499994 -34.639179816999956, -70.93806958199997 -34.61988227399996, -70.93941949499998 -34.61284481499996, -70.93549158299999 -34.59998481699995, -70.93410045699994 -34.59445321499993, -70.93337624399999 -34.59077261899995, -70.93065456299996 -34.57672922499995, -70.92962000499995 -34.57327996499998, -70.92588482099995 -34.56137530299998, -70.91975750099994 -34.54565319599993, -70.90924303599996 -34.52241076499996, -70.89455985799998 -34.49559428799995, -70.89221056899999 -34.48194130299993, -70.88818867299995 -34.46977311899997, -70.86382141299998 -34.446144957999934, -70.84291055599994 -34.428367596999976, -70.83705858199994 -34.42193473999998, -70.83295700399998 -34.41601850899997, -70.81232357599998 -34.39522180599994, -70.80793429699997 -34.389261045999945, -70.79490088299997 -34.37078001599997, -70.78928128399997 -34.36348906499995, -70.78699832899997 -34.35889150099996, -70.78424161299995 -34.34901544199994, -70.78301240399998 -34.344909136999945, -70.78222283799994 -34.34161371699997, -70.77792087899996 -34.30269710899995, -70.77726592599998 -34.29913248499997, -70.76634234899996 -34.26744059799995, -70.75482922199996 -34.248045891999936, -70.73813080499997 -34.22271216699994, -70.72763883199997 -34.20825332399994, -70.70796852199999 -34.18398851699993, -70.69750694599998 -34.17239969399998, -70.68471973499999 -34.15909102099994, -70.68087751799999 -34.12341169399997, -70.68018826199994 -34.11676246799993, -70.67989455499998 -34.11368564399993, -70.68071134499996 -34.099064005999935, -70.68057389999996 -34.078382010999974, -70.67798793099996 -34.061236245999964, -70.67750232399999 -34.058281860999955, -70.67726802099997 -34.038621802999955, -70.67648778099993 -34.01257597999995, -70.66291593399995 -33.98323576599995, -70.65791385099993 -33.96283401799997, -70.65503037799994 -33.936222337999936, -70.67510583499995 -33.88199315799994, -70.67976723199996 -33.86532165099993, -70.68080357599996 -33.83052570199993, -70.68407039299996 -33.80288465999996, -70.68678994999993 -33.78959430699996, -70.69148322299998 -33.77502767799996, -70.70312495499996 -33.74428589299998, -70.69850778299997 -33.72510539199993, -70.69693766299997 -33.722170044999984, -70.69450073999997 -33.71662021999998)"
